//星级|名称
Star_Lv1|一星
Star_Lv2|二星
Star_Lv3|三星
Star_Lv4|四星
Star_Lv5|五星
//name1|活动关卡名字
name21001|抢滩登陆
name21002|滑翔降落作战
name21003|罗密欧行动
name21004|伪装的指挥中心
name21005|“肥羊？”火车站
name21006|乘虚而入
name21007|橄榄行动
name21008|突然袭击
name21009|坚守桥梁
name21010|沙滩上的较量
name21011|锡特卡行动
name21012|从天而降
name21013|先发制人
name21014|圣马克西姆
name21015|击飞“白鸽”
name21016|摧毁运输物资
name21017|可疑的仓库
BarbaName_220001|强渡布格河
BarbaName_220003|通向基辅
BarbaName_220005|莫斯科门户
BarbaName_220007|纵深挺进
BarbaName_220009|稍纵即逝的战机
BarbaName_220011|清剿斯摩棱斯克
BarbaName_220013|戈梅利战役
BarbaName_220015|南下作战
BarbaName_220017|杰纳斯河
BarbaName_220019|绝密文件
BarbaName_220021|百万大作战
BarbaName_220023|切尔尼戈夫
BarbaName_220025|血路
BarbaName_220027|东进突围
BarbaName_220029|绝死冲锋
name23101|空降
name23111|空降敌后
name23112|宝剑海滩
name23113|圣-梅尔-艾格里斯
name23114|第6空降师
name23115|第1空降师
name23201|登陆
name23211|坚毅作战
name23212|黄金海滩
name23213|滩头阵地
name23214|重装支援
name23215|会师奥马哈
name23301|狙击
name23333|迈向胜利的步伐
//intro|活动关卡描述
intro23111|在登陆部队抵抗海岸前，先期空降敌后，计划与犹他海滩和盟军会合。
intro23112|伞兵部队空降内陆，计划配合从宝剑海滩东边登陆的英国军队在抢滩后，击溃德国轻装步兵的火力。
intro23113|和82空降师一起攻击小镇圣-梅尔-艾格里斯，并负责阻挡德国援军。
intro23114|第6空降师空投到登陆地区的左翼地区，夺取附近的桥梁，以防止德国的装甲部队前往海岸支持。
intro23115|第1空降师的棒小伙们已经拿下了佩加索桥，立刻前往增援，遏制第21装甲师的反扑。
intro23211|为了迷惑敌军，指挥部命令我们先准备一个叫做坚毅作战的欺敌计划。让我们先拿加莱练练手！
intro23212|英国军队第32军第50师及第7装甲师受命进攻黄金海滩，祝小伙子们好运！
intro23213|今天是登陆行动的第一天，滩头阵地周围还有很多坚持抵抗的敌军，肃清他们。
intro23214|美国军队第4步兵师及第90步兵师受命在犹他海滩登陆，急需重装支援。\n小伙子们，喝完手上这杯咖啡，就该我们上场了！
intro23215|干的漂亮！犹他海滩已经拿下，接下来我们要做的是会师奥马哈，敲掉这块硬骨头。
intro23311|击退德国第21师坦克部队的顽强抵抗，努力与从朱诺海滩登陆的加拿大部队会师。
intro23312|德国军队西线装甲集群的5个装甲师正在集结！在敌人准备好之前，先发制人，各个击破他们。
intro23313|夺取佩加索斯桥，阻止德国装甲部队前往海岸支援。
intro23314|和英国第7装甲师一起向卡昂推进，注意：很有可能与从亚眠赶来的德国护卫军第2装甲师遭遇。\n这将是一场硬仗。
intro23315|侧面受到护卫军第17装甲师的攻击！击退他们，并乘机突破敌军在圣索沃地区的防线。
intro23411|打通朱诺海滩和宝剑海滩的联络，巩固和扩大登陆场。
intro23412|缴获敌军的通讯设备，并试图联系主力部队，请求火力支援攻占贝辛港。
intro23413|在美国海军的火力支援和精锐部队第一师的带领下发起冲锋，击溃奥马哈的防御。
intro23414|协同美国军队第1集团军强攻瑟堡，请尽可能保全港口设施。
intro23415|在巴顿将军的率领下，美国军队第3集团军开始了在欧洲大陆上的突进。并向诺曼底地区重要的交通枢纽圣洛发动钳形攻击。
intro21001|第3步兵师受命在阿尔法海滩（卡瓦莱尔滨海）登陆。拿下这个重要战略点，有可能能瓦解敌人在这个区域的抵抗，为后续部队的登陆带来极大的便利。祝你好运！
intro21002|第887滑翔机空降工程连准备进行滑翔降落作战，前方的目标看起来很有战略价值。让我们来一次突然袭击，以捣毁德国在该地区的指挥中心。祝你好运！
